NARA Guidance: Preferred,NARA Guidance: Acceptable,Numeric Risk Rating,Risk Level,NARA Format ID,Format Name,File Extension(s),Content Category,Is the format proprietary? ,Does the format have a published open specification?,Are there available tools that can validate the technical integrity of a file encoded in this format against the published specification? ,Has the specification been approved and published by an internationally recognized standards body? ,Is the available specification complete and accurate?,Total Disclosure Score. Highest possible score = 10; Lowest possible score = -6,Is the file format commonly used to create or maintain permanent records within the federal government?,Is the file format commonly used outside the federal government?,"Is the format actively maintained and updated by an organization, individual, or community?",Are multiple renderers available? ,Have the archives or library communities identified the format as one they prefer for creation and transfer of permanent materials?,Total Adoption Score: Highest possible score = 10; Lowest possible score = -6,Is the format human readable and can it be opened with a text editor?,Does the available specification provide enough detail to allow basic analysis of the file format with hex editors or other inspection tools?,Does the format rely on standard character or other encoding methods such as IEEE notations?,Is the source code of the software used to create the format available for little or no cost?,Is the software used to create the format supported by current computing environments?,Does the format require the use of compression?,Does the format support user-definable compression levels or other quality settings that affect essential characteristics?,Total Transparency Score. Highest possible score = 7; Lowest possible score = -7,Does the format support self-contained (embedded) descriptive metadata?,Does the format support self-contained technical metadata?,Does the format support self-contained administrative metadata?,Does the format metadata adhere to an international standard?,Is the format metadata robust enough for an accurate file analysis?,Total Self-Documentation Score. Highest possible score = 7; Lowest possible score = -5,"Does the format require a specific hardware environment, such as a specific graphics card, chipset, or memory requirements, to process or interact with it?","Does the format require specific playback hardware (e.g., Blu-Ray, Audio CD, etc) to transfer the format to the NARA environment?",Total External Hardware Dependencies Score. Highest possible score = 4; Lowest possible score = -8,Does the format rely on proprietary software to render or view files? ,"Does the format rely on plug-ins, scripts, etc. to render or view files?",Does the format rely on specific computing operating system(s) to render or view files?,Does the format rely on special tools to render or view files?,Total External Software Dependencies Score. Highest possible score = 4; Lowest possible score = -8,Is the format subject to patent claims that may impede the development of open source tools for opening and managing the files?,Have the patent claims expired?,Are there fees associated with the format as a result of patent claims?,Does the format have open source license terms?,Total Impact of Patents Score. Highest possible score = 4; Lowest possible score = -4,Does the format have capability to encrypt all or part of the resulting file?,Does the format require the use of encryption?,Does the format support robust encryption? ,Can technical protection measures (e.g. digital rights management) be applied?,Does the format allow for embedded information such as watermarking? ,Total Technical Protection Mechanisms Score. Highest possible score = 10; Lowest possible score = -6,When was the Format Specification First Created?,Risk Factor: Highest Possible score = 0; Lowest possible score = -4,When was the Format Specification last updated?,Risk Factor: Highest Possible score = 0; Lowest possible score = -4,Total Format Age Score. Highest possible score = 0; Lowest possible score = -8,Total Format Risk/Sustainability Factor Numeric Score ,Risk/Sustainability Factor Status,
,,5.00,Moderate Risk,NF00111,ARC Archive,arc,Software,2,2,2,-2,2,6,-2,-1,0,0,-1,-4,-1,0,0,1,1,-1,-1,-1,-1,1,-1,0,0,-1,2,2,4,1,0,-2,-2,-3,-1,0,1,0,0,-1,2,-1,2,2,4,1985,-4,1988,-4,0,5.00,Moderate Risk,
,X,38.00,Low Risk,NF00112,Archive File Format for the Web,arc,Web Content,2,2,2,-1,2,7,2,2,2,2,2,10,0,1,0,1,1,1,-1,3,1,1,1,0,2,5,2,2,4,1,-2,-2,-2,-5,1,1,1,1,4,2,2,2,2,2,10,1996,-4,1996,-4,0,38.00,Low Risk,
,,45.00,Low Risk,NF00113,ASCII 7-bit Text,asc; txt; csv,Textual,2,2,2,2,2,10,2,-1,2,2,2,7,1,1,1,1,1,1,0,6,0,1,1,1,1,4,2,2,4,1,1,1,1,4,1,1,0,0,2,2,2,2,0,2,8,1963,-4,1986,-4,0,45.00,Low Risk,
X,,48.00,Low Risk,NF00114,ASCII 8-bit Text,asc; txt; csv,Textual,2,2,2,2,2,10,2,2,2,2,2,10,1,1,1,1,1,1,0,6,0,1,1,1,1,4,2,2,4,1,1,1,1,4,1,1,0,0,2,2,2,2,0,2,8,1963,-4,1986,-4,0,48.00,Low Risk,
,X,26.00,Low Risk,NF00115,Audio Interchange File Format,aif; aiff; ief,Digital Audio,-1,2,2,-1,2,4,-1,1,2,0,1,3,1,1,1,1,1,1,,6,1,1,1,-1,2,4,2,2,4,1,1,1,1,4,1,0,1,0,2,-1,,-1,-1,2,-1,1988,-4,1989,-4,0,26.00,Low Risk,
,X,27.00,Low Risk,NF00116,Audio Interchange File Format with LPCM Audio,aif; aiff; x-aiff; x-pn-aiff,Digital Audio,-1,2,-1,2,2,4,-1,2,-1,2,1,3,-1,-1,1,0,1,1,-1,0,1,1,1,-1,2,4,2,2,4,1,1,1,1,4,1,0,0,0,1,2,2,2,-1,2,7,1982,-4,1988,-4,0,27.00,Low Risk,
,X,34.00,Low Risk,NF00117,Audio Video Interleaved,avi,Digital Video,-1,2,2,2,2,7,2,2,-1,2,2,7,-1,-1,1,1,1,1,1,3,1,1,1,-1,2,4,2,2,4,1,-2,1,-2,-2,1,0,1,1,3,2,2,2,0,2,8,1992,-4,2006,-2,0,34.00,Low Risk,
,,3.00,Moderate Risk,NF00118,AutoCAD 2000-2002,dwg,CAD/3D/Vector Graphics,-1,-1,2,-2,-1,-3,2,2,2,2,2,10,-1,-1,-1,-1,-1,,,-5,1,1,1,-1,-1,1,2,0,2,-2,-2,1,1,-2,,,,,0,,,,,,0,2001,-4,2001,-4,0,3.00,Moderate Risk,
,,3.00,Moderate Risk,NF00119,AutoCAD 2004-2005,dwg,CAD/3D/Vector Graphics,-1,-1,2,-2,-1,-3,2,2,2,2,2,10,-1,-1,-1,-1,-1,,,-5,1,1,1,-1,-1,1,2,0,2,-2,-2,1,1,-2,,,,,0,,,,,,0,2004,-2,2004,-2,0,3.00,Moderate Risk,
,,3.00,Moderate Risk,NF00120,AutoCAD 2007-2008,dwg,CAD/3D/Vector Graphics,-1,-1,2,-2,-1,-3,2,2,2,2,2,10,-1,-1,-1,-1,-1,,,-5,1,1,1,-1,-1,1,2,0,2,-2,-2,1,1,-2,,,,,0,,,,,,0,2005,-2,2005,-2,0,3.00,Moderate Risk,
,,3.00,Moderate Risk,NF00121,AutoCAD 2010/2011/2012,dwg,CAD/3D/Vector Graphics,-1,-1,2,-2,-1,-3,2,2,2,2,2,10,-1,-1,-1,-1,-1,,,-5,1,1,1,-1,-1,1,2,0,2,-2,-2,1,1,-2,,,,,0,,,,,,0,2007,-2,2007,-2,0,3.00,Moderate Risk,
,,-6.00,Moderate Risk,NF00122,AutoCAD Block Attribute Template,bkl,CAD/3D/Vector Graphics,-1,-1,2,-2,-1,-3,2,2,2,2,-1,7,-1,-1,-1,-1,-1,,,-5,-1,-1,-1,-1,-1,-5,2,0,2,-2,-2,1,1,-2,,,,,0,,,,,,0,2002,-4,2002,-4,0,-6.00,Moderate Risk,
,,-6.00,Moderate Risk,NF00123,AutoCAD Colour-Dependant Plot Style Table,ctb,CAD/3D/Vector Graphics,-1,-1,2,-2,-1,-3,2,2,2,2,-1,7,-1,-1,-1,-1,-1,,,-5,-1,-1,-1,-1,-1,-5,2,0,2,-2,-2,1,1,-2,,,,,0,,,,,,0,2002,-4,2002,-4,0,-6.00,Moderate Risk,
,,-6.00,Moderate Risk,NF00124,AutoCAD Compiled Menu,dll,CAD/3D/Vector Graphics,-1,-1,2,-2,-1,-3,2,2,2,2,-1,7,-1,-1,-1,-1,-1,,,-5,-1,-1,-1,-1,-1,-5,2,0,2,-2,-2,1,1,-2,,,,,0,,,,,,0,2002,-4,2002,-4,0,-6.00,Moderate Risk,
,,-6.00,Moderate Risk,NF00125,AutoCAD Custom Dictionary,cus,CAD/3D/Vector Graphics,-1,-1,2,-2,-1,-3,2,2,2,2,-1,7,-1,-1,-1,-1,-1,,,-5,-1,-1,-1,-1,-1,-5,2,0,2,-2,-2,1,1,-2,,,,,0,,,,,,0,2002,-4,2002,-4,0,-6.00,Moderate Risk,
,,-6.00,Moderate Risk,NF00126,AutoCAD dbConnect Template Set,dbq,CAD/3D/Vector Graphics,-1,-1,2,-2,-1,-3,2,2,2,2,-1,7,-1,-1,-1,-1,-1,,,-5,-1,-1,-1,-1,-1,-5,2,0,2,-2,-2,1,1,-2,,,,,0,,,,,,0,2001,-4,2001,-4,0,-6.00,Moderate Risk,
,,-6.00,Moderate Risk,NF00127,AutoCAD Linetype Definition File,lin,CAD/3D/Vector Graphics,-1,-1,2,-2,-1,-3,2,2,2,2,-1,7,-1,-1,-1,-1,-1,,,-5,-1,-1,-1,-1,-1,-5,2,0,2,-2,-2,1,1,-2,,,,,0,,,,,,0,,-4,,-4,0,-6.00,Moderate Risk,
,,-6.00,Moderate Risk,NF00128,AutoCAD Named Plot Style Table,stb,CAD/3D/Vector Graphics,-1,-1,2,-2,-1,-3,2,2,2,2,-1,7,-1,-1,-1,-1,-1,,,-5,-1,-1,-1,-1,-1,-5,2,0,2,-2,-2,1,1,-2,,,,,0,,,,,,0,2002,-4,2002,-4,0,-6.00,Moderate Risk,
,,3.00,Moderate Risk,NF00129,AutoCAD R10,dwg,CAD/3D/Vector Graphics,-1,-1,2,-2,-1,-3,2,2,2,2,2,10,-1,-1,-1,-1,-1,,,-5,1,1,1,-1,-1,1,2,0,2,-2,-2,1,1,-2,,,,,0,,,,,,0,2009,-2,2009,-2,0,3.00,Moderate Risk,
,,3.00,Moderate Risk,NF00130,AutoCAD R11/12,dwg,CAD/3D/Vector Graphics,-1,-1,2,-2,-1,-3,2,2,2,2,2,10,-1,-1,-1,-1,-1,,,-5,1,1,1,-1,-1,1,2,0,2,-2,-2,1,1,-2,,,,,0,,,,,,0,2010,-2,2010,-2,0,3.00,Moderate Risk,
,,3.00,Moderate Risk,NF00131,AutoCAD R14,dwg,CAD/3D/Vector Graphics,-1,-1,2,-2,-1,-3,2,2,2,2,2,10,-1,-1,-1,-1,-1,,,-5,1,1,1,-1,-1,1,2,0,2,-2,-2,1,1,-2,,,,,0,,,,,,0,2013,-2,2013,-2,0,3.00,Moderate Risk,
,,-9.00,Moderate Risk,NF00132,AutoCAD Script,scr,CAD/3D/Vector Graphics,-1,-1,2,-2,-1,-3,2,2,2,-1,-1,4,-1,-1,-1,-1,-1,,,-5,-1,-1,-1,-1,-1,-5,2,0,2,-2,-2,1,1,-2,,,,,0,,,,,,0,,-4,,-4,0,-9.00,Moderate Risk,
,,5.00,Moderate Risk,NF00133,Autodesk Revit Template,rte,CAD/3D/Vector Graphics,-1,-1,0,-2,-1,-5,2,2,2,0,-1,5,-1,0,0,0,0,0,0,-1,1,1,-1,0,0,1,2,2,4,1,0,0,-2,-1,1,1,1,-1,2,0,0,0,0,0,0,2000,-4,2018,0,0,5.00,Moderate Risk,
,,9.00,Moderate Risk,NF00134,Batch file executable,bat; cmd; btm,Software,2,-1,2,-2,0,1,0,2,0,2,-1,3,1,0,1,1,1,1,-1,4,-1,-1,-1,0,0,-3,2,2,4,-2,-2,-2,-2,-8,0,0,0,0,0,2,2,2,0,2,8,1982,-4,1982,-4,0,9.00,Moderate Risk,
,,-13.00,High Risk,NF00135,Binary file,bin,Software,0,-1,-1,-2,-1,-5,2,2,0,0,-1,3,-1,0,0,0,1,-1,-1,-2,0,0,0,0,0,0,0,0,0,-2,-2,-2,-2,-8,0,0,0,0,0,-1,0,-1,-1,2,-1,,-4,,-4,0,-13.00,High Risk,
X,,53.00,Low Risk,NF00136,Broadcast WAVE 1,wav,Digital Audio,-1,2,2,2,2,7,2,2,2,2,2,10,1,1,1,1,1,1,1,7,1,1,1,2,2,7,2,2,4,1,1,1,1,4,1,1,1,1,4,2,2,2,2,2,10,1991,-4,2012,-2,0,53.00,Low Risk,
,,5.00,Moderate Risk,NF00137,Btrieve Database 5.0/6.0/6.1,btr,Database,-1,-1,2,-2,0,-2,2,2,-1,0,-1,2,-1,1,1,0,1,0,0,2,1,1,0,0,2,4,2,2,4,-2,0,-2,-2,-6,0,0,0,0,0,-1,2,-1,-1,2,1,1982,-4,2016,0,0,5.00,Moderate Risk,
,,26.00,Low Risk,NF00138,C# Code,cs,Software,-1,2,2,-2,2,3,-2,2,2,2,-1,3,1,1,0,-1,1,1,1,4,-1,1,-1,0,0,-1,2,2,4,1,1,1,1,4,0,0,0,-1,-1,2,2,2,2,2,10,2000,-4,2018,0,0,26.00,Low Risk,
,,29.00,Low Risk,NF00139,CALS Compressed Bitmap,cal,Digital Still Image,2,2,2,0,2,8,2,2,2,0,-1,5,0,1,1,1,1,0,0,4,0,1,0,1,1,3,2,2,4,1,1,1,1,4,1,1,1,-1,2,-1,0,0,0,0,-1,1988,-4,,-4,0,29.00,Low Risk,
,,-5.00,Moderate Risk,NF00140,Camera RAW file,cr2; crw; dcr; kdc; nrw; orf pef; raf; srf; x3f; raw,Digital Still Image,-1,-1,-1,-1,-1,-5,2,2,2,2,-1,7,-1,-1,-1,-1,1,-1,-1,-5,1,1,1,-1,2,4,2,2,4,-2,-2,1,-2,-5,-1,1,0,-1,-1,-1,0,-1,-1,-1,-4,2001,-4,2001,-4,0,-5.00,Moderate Risk,
,,35.00,Low Risk,NF00141,Cascading Style Sheet,css,Web Content,2,2,0,2,2,8,2,2,2,2,0,8,1,1,0,1,1,1,1,6,-1,1,-1,0,0,-1,2,2,4,1,-2,1,-2,-2,1,0,0,1,2,2,2,2,2,2,10,1995,-4,2018,0,0,35.00,Low Risk,
,,-3.00,Moderate Risk,NF00411,Checksum File,sum,Software,-1,-1,-1,-2,0,-5,-2,2,0,0,2,2,-1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,2,4,-2,0,0,-2,-4,0,0,0,0,0,0,0,0,0,0,0,1985,-4,2017,0,0,-3.00,Moderate Risk,
,,19.00,Moderate Risk,NF00142,Cold Fusion Markup,cfm; cfc,Software,-1,-1,0,-2,0,-4,-2,2,2,0,-1,1,1,1,0,1,1,1,1,6,-1,1,-1,0,0,-1,2,2,4,1,1,1,-2,1,1,0,0,1,2,2,2,2,2,2,10,1995,-4,2012,-2,0,19.00,Moderate Risk,
,,42.00,Low Risk,NF00143,Comma Separated Value file,csv,Structured Data,2,2,2,2,2,10,2,2,2,2,2,10,1,1,0,1,1,1,1,6,-1,-1,-1,0,0,-3,2,2,4,1,1,1,1,4,1,0,0,0,1,2,2,2,2,2,10,2005,-2,2005,-2,0,42.00,Low Risk,
,,28.00,Low Risk,NF00144,Common Data Format,cdf,Software,-1,2,2,-1,2,4,0,2,2,2,-1,5,1,1,1,1,1,0,,5,1,1,1,-1,1,3,2,2,4,0,1,1,1,3,1,1,1,1,4,0,,0,0,0,0,1985,-4,2015,0,0,28.00,Low Risk,
,,8.00,Moderate Risk,NF00145,Computer Graphics Metafile Binary 1,cgm,Multimedia,2,2,0,2,2,8,2,2,2,2,0,8,-1,1,1,0,1,0,0,2,0,0,0,0,0,0,-4,0,-4,-2,-2,0,-2,-6,1,0,0,0,1,0,0,0,-1,0,-1,1986,-4,2010,-2,0,8.00,Moderate Risk,
,,13.00,Moderate Risk,NF00146,Configuration File,conf; cnf; cfg; cf; ini,Software,2,-1,-1,-2,0,-2,-2,2,-1,2,-1,0,1,0,0,1,1,1,1,5,-1,1,-1,0,0,-1,2,2,4,0,1,1,1,3,0,0,0,0,0,2,0,0,0,2,4,1982,-4,1993,-4,0,13.00,Moderate Risk,
,,-26.00,High Risk,NF00147,CorelDraw 8/9,cdr ,CAD/3D/Vector Graphics,-1,-1,0,-2,-1,-5,-2,-2,-2,2,-1,-5,-1,-1,-1,-1,-1,,,-5,-1,-1,-1,-1,-1,-5,2,0,2,-2,-2,-2,-2,-8,,,,,0,,,,,,0,,-4,,-4,0,-26.00,High Risk,
,,-25.00,High Risk,NF00148,CorelDraw Compressed CMX,cmx,CAD/3D/Vector Graphics,-1,-1,0,-2,-1,-5,-2,-2,-2,-1,-1,-8,-1,-1,-1,-1,-1,-1,-1,-7,-1,-1,-1,-1,-1,-5,2,0,2,-2,-2,1,1,-2,0,0,0,0,0,0,0,0,0,0,0,1989,-4,2018,0,0,-25.00,High Risk,
,,-25.00,High Risk,NF00149,CorelDraw Wavelet Compressed Bitmap,wi,Digital Still Image,-1,-1,0,-2,-1,-5,-2,-2,-2,-1,-1,-8,-1,-1,-1,-1,-1,-1,-1,-7,-1,-1,-1,-1,-1,-5,2,0,2,-2,-2,1,1,-2,0,0,0,0,0,0,0,0,0,0,0,1989,-4,2018,0,0,-25.00,High Risk,
,,5.00,Moderate Risk,NF00150,Crystal Reports File,rpt,Presentation/Publishing,-1,-1,-1,-2,-1,-6,2,2,0,2,-1,5,-1,0,0,1,1,1,1,3,0,0,0,0,0,0,2,2,4,-2,-2,1,-2,-5,0,0,0,0,0,0,2,0,0,2,4,1991,-4,2011,-2,0,5.00,Moderate Risk,
,,9.00,Moderate Risk,NF00151,Data File,dat,Software,-1,-1,0,0,0,-2,2,2,0,0,-1,3,1,0,0,0,1,1,0,3,0,0,0,0,0,0,2,2,4,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,-4,,-4,0,9.00,Moderate Risk,
,,9.00,Moderate Risk,NF00152,Database File,db,Database,0,0,0,0,0,0,0,2,0,0,-1,1,0,0,0,0,1,1,0,2,1,0,0,0,0,1,0,2,2,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,2,,-4,,-4,0,9.00,Moderate Risk,
,,31.00,Low Risk,NF00153,dBASE Database III/ III+/IV/V,dbf; dbase; x-dbf; x-dbase,Database,-1,2,2,-1,2,4,0,2,2,2,2,8,1,1,1,1,1,1,,6,1,0,0,0,0,1,2,2,4,1,1,1,1,4,1,0,1,0,2,2,,0,0,0,2,1983,-4,1997,-4,0,31.00,Low Risk,
,,31.00,Low Risk,NF00154,DBase Index File,ndx; mdx,Database,-1,2,2,-1,2,4,0,2,2,2,2,8,1,1,1,1,1,1,,6,1,0,0,0,0,1,2,2,4,1,1,1,1,4,1,0,1,0,2,2,,0,0,0,2,1983,-4,1997,-4,0,31.00,Low Risk,
,,5.00,Moderate Risk,NF00155,dBASE Text Memo,dbt,Database,-1,-1,-1,0,0,-3,-2,2,-1,0,-1,-2,1,0,0,-1,1,1,0,2,1,0,0,-1,0,0,2,2,4,0,1,1,1,3,0,0,0,-1,-1,0,2,0,0,0,2,,-4,,-4,0,5.00,Moderate Risk,
,,15.00,Moderate risk,NF00156,DEC WPS Plus Document,DX,Textual,2.00,0,2,-2,0,2.00,-2,-1,-1,2,-1,-3,1,0,0,0,-1,1,1,2,-1,-1,-1,-1,0,-4,2,2,4,1,1,1,1,4,0,0,0,0,0,2,2,2,2,2,10,,-4,,-4,0,15.00,Moderate risk,
,,-26.00,High Risk,NF00157,DesignCAD Drawing,dcd dc; dc2; dc3; dw2; dw3 ,CAD/3D/Vector Graphics,-1,-1,0,-2,-1,-5,-2,-2,-2,2,-1,-5,-1,-1,-1,-1,-1,,,-5,-1,-1,-1,-1,-1,-5,2,0,2,-2,-2,-2,-2,-8,,,,,0,,,,,,0,,-4,,-4,0,-26.00,High Risk,
,,7.00,Moderate Risk,NF00158,Dictionary Exclude File,lex,Software,0,-1,0,-2,0,-3,-2,0,2,2,2,4,1,0,0,0,0,0,0,1,-1,-1,-1,0,2,-1,2,2,4,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,,-4,,-4,0,7.00,Moderate Risk,
,,7.00,Moderate Risk,NF00159,Dictionary File,dct; zdct,Software,0,-1,0,-2,0,-3,-2,0,2,2,2,4,1,0,0,0,0,0,0,1,-1,-1,-1,0,2,-1,2,2,4,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,,-4,,-4,0,7.00,Moderate Risk,
,,30.00,Low Risk,NF00462,Digital Cinema Package,dcp,Digital Cinema,2,2,2,2,2,10,-2,2,2,2,2,6,1,1,0,1,1,0,0,4,1,1,1,0,2,5,2,2,4,1,1,1,-2,1,1,0,1,1,3,-1,0,-1,-1,0,-3,2005,-2,2018,0,0,30.00,Low Risk,
X,,39.00,Low Risk,NF00160,Digital Moving-Picture Exchange 1.0,dpx,Digital Cinema,2,2,2,2,2,10,0,2,2,2,2,8,1,1,1,1,1,1,1,7,1,1,1,2,2,7,2,2,4,1,1,-2,-2,-2,1,1,0,-1,1,0,2,0,2,0,4,1994,-4,2003,-4,0,39.00,Low Risk,
,X,30.00,Low Risk,NF00161,Digital Negative 1.0/1.2/1.3/1.4,dng,Digital Still Image,-1,2,0,-1,2,2,-2,2,2,2,0,4,-1,1,0,0,1,1,1,3,1,1,1,-1,2,4,2,2,4,1,1,1,1,4,-1,1,1,1,2,2,2,2,2,-1,7,2005,-2,2012,-2,0,30.00,Low Risk,
,,50.00,Low Risk,NF00162,Document Type Definition,dtd,Web Content,2,2,2,2,2,10,2,2,2,2,2,10,1,1,1,1,1,1,1,7,-1,1,1,0,2,3,2,2,4,1,1,1,1,4,1,0,0,1,2,2,2,2,2,2,10,1996,-4,2006,-2,0,50.00,Low Risk,
,,14.00,Moderate Risk,NF00163,Drawing Interchange File Format 11/12,dxf,CAD/3D/Vector Graphics,-1,2,2,0,0,3,0,0,2,,2,4,1,1,1,1,1,1,1,7,-1,-1,-1,-1,-1,-5,2,0,2,1,1,1,0,3,,,,,0,,,,,,0,,-4,,-4,0,14.00,Moderate Risk,
,,14.00,Moderate Risk,NF00164,Drawing Interchange File Format ASCII 2004/2005/2006,dxf ,CAD/3D/Vector Graphics,-1,2,2,0,0,3,0,0,2,,2,4,1,1,1,1,1,1,1,7,-1,-1,-1,-1,-1,-5,2,0,2,1,1,1,0,3,,,,,0,,,,,,0,,-4,,-4,0,14.00,Moderate Risk,
,,14.00,Moderate Risk,NF00165,Drawing Interchange File Format ASCII Generic,dxf ,CAD/3D/Vector Graphics,-1,2,2,0,0,3,0,0,2,,2,4,1,1,1,1,1,1,1,7,-1,-1,-1,-1,-1,-5,2,0,2,1,1,1,0,3,,,,,0,,,,,,0,,-4,,-4,0,14.00,Moderate Risk,
